STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AFG,Afghanistan,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ASM,American Samoa,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AND,Andorra,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ABW,Aruba,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BHS,Bahamas,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BRB,Barbados,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CYM,Cayman Islands,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CUW,Curaçao,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FLK,Falkland Islands (Malvinas),A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GIB,Gibraltar,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GUY,Guyana,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VAT,Holy See,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MDV,Maldives,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MCO,Monaco,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MSR,Montserrat,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NAM,Namibia,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NRU,Nauru,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MNP,Northern Mariana Islands,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRI,Puerto Rico,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SMR,San Marino,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,STP,Sao Tome and Principe,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SGP,Singapore,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TCA,Turks and Caicos Islands,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TUV,Tuvalu,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VIR,United States Virgin Islands,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SPM,Saint Pierre and Miquelon,A,Annual,FOREST_PL,Planted Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,FOREST,Forest,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NRU,Nauru,A,Annual,FOREST,Forest,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
